Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2507	sln		91	б	ИП Сухов Г.А.	расп	Сланцы	Негуба	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - (заезд: Шавково) - Лужицы - (заезд: Намежки - Фёдорово Поле) - Негуба		-		27.06.2016	2	-	-
2508	sln		92		ИП Сухов Г.А.	расп	Сланцы	Демешкин Перевоз	-	Сланцы - Сосновка - Сельхозтехника - Гостицы - Подпорожек - Демешкин Перевоз		-		27.06.2016	2	-	-
2509	sln		92	а	ИП Сухов Г.А.	расп	Демешкин Перевоз	Сланцы	-	Сланцы - Сосновка - Сельхозтехника - Гостицы - (заезд: Пелеши) - Подпорожек - Демешкин Перевоз		-		27.06.2016	2	-	-
2510	sln		93		ИП Сухов Г.А.	расп	Сланцы	Осьмино	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Борки - Кушела - Заберезье - Плешево - Менюши - Старополье - Заклепье - Шаклицы - Овсище - Поречье - Козья Гора - Кошелевичи - Рожновье - Лесище - Новоселье - Осьмино		-		27.06.2016	2	-	-
2511	sln		93	а	ИП Сухов Г.А.	расп	Сланцы	Поречье	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Борки - Кушела - Заберезье - Плешево - Менюши - Старополье - Заклепье - Шаклицы - Овсище - Поречье		-		27.06.2016	2	-	-
2512	sln		93	б	ИП Сухов Г.А.	расп	Сланцы	Овсище	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Борки - Кушела - Заберезье - Плешево - Менюши - Старополье - Заклепье - Шаклицы - Овсище		-		27.06.2016	2	-	-
2513	sln		94		ИП Сухов Г.А.	расп	Сланцы	Старополье	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - Хрель - Захрелье - Изборовье - Заручье - Лужки - Русско - Межник - Менюши - Старополье		-		27.06.2016	2	-	-
2514	sln		94	а	ИП Сухов Г.А.	расп	Сланцы	Заручье	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - Хрель - Захрелье - Изборовье - Заручье		-		27.06.2016	2	-	-
2515	sln		94	з	ИП Сухов Г.А.	расп	Сланцы	Старополье	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - Хрель - Захрелье - Изборовье - Заручье - (заезд: Нарница - Сорокино - Столбово - Растилово - Филево - Зажупанье - Фёдорово Поле) - Лужки - Русско - Межник - Менюши - Старополье		-		27.06.2016	2	-	-
2516	sln		95		ИП Сухов Г.А.	расп	Сланцы	Негуба	-	Сланцы - Сосновка - Сельхозтехника - Гостицы - Пелеши - Б.Руя - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - Лужицы - Негуба		-		27.06.2016	2	-	-
2517	sln		95	а	ИП Сухов Г.А.	расп	Сланцы	Новоселье	-	Сланцы - Сосновка - Сельхозтехника - Гостицы - Пелеши - Б.Руя - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье		-		27.06.2016	2	-	-
2518	sln		96		ИП Сухов Г.А.	расп	Сланцы	Казино	-	Сланцы - Замошье - Куклина Гора - Заборожка - Клин - Савиновщина - Казино		-		27.06.2016	2	-	-
2519	sln		104		"ОАО ""КАП"""	расп	Сланцы	Кингисепп	-	Сланцы - ст.Ищево - Тихвинка - Медвежек - (заезд: Монастырёк) - Черновское - Вервино - ст.Туганы - Кингисепп		Higer KLQ6119, ЛиАЗ-5293		27.06.2016	2	-	-
2520	sln		105		ИП Сухов Г.А.	расп	АТП	Выскатка	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка		ПАЗ-3204-02		27.06.2016	2	-	-
2521	sln		107		ИП Сухов Г.А.	расп	Сланцы	"Садоводство ""Здоровье"""	-	Сланцы - Б.Поля - Печурки - Загривье - Скамья		-		27.06.2016	2	-	-
2522	sln		94	л	ИП Сухов Г.А.	расп	Сланцы	Фёдорово Поле	-	Сланцы - Замошье - Куклина Гора - Пананицы - Вязище - Выскатка - Б.Рожки - Рудно - Гусева Гора - Дубок - Заовражье - Новоселье - Кислино - Ждовля - Малафьевка - Хрель - Захрелье - Изборовье - Заручье - Нарница - Китково - Столбово - Растево - Филево - Фёдорово Поле		-		27.06.2016	2	-	-
2523	sln		107	а	ИП Сухов Г.А.	расп	Сланцы	Садоводство «Здоровье»	-	Сланцы - Б.Поля - Печурки - (заезд: Загривье - Степановщина - Отрадное) - Мокреди - (заезд: Переволок) - Скамья		-		27.06.2016	2	-	-
2524	sln		107	з	ИП Сухов Г.А.	расп	Сланцы	Садоводство «Здоровье»	-	Сланцы - Б.Поля - Печурки - Загривье - Мокреди - (заезд: Переволок) - (заезд: Втроя) - Скамья		-		27.06.2016	2	-	-
2525	sln		107	л	ИП Сухов Г.А.	расп	Сланцы	Садоводство «Здоровье»	-	Сланцы - Б.Поля - Печурки - Загривье - Мокреди - (заезд: Переволок) - (заезд: Кукин Берег) - Скамья		-		27.06.2016	2	-	-
2526	sln		107	с	ИП Сухов Г.А.	расп	Сланцы	Загривье	-	Сланцы - Б.Поля - Печурки - Загривье		-		27.06.2016	2	-	-
2527	sln		4	а	ИП Марков В.А.	расп	АТП	Пл. Ленина	-	ул.Баранова - ул.Кирова - ул.Ленина - Молодёжный пр. - ул.Первостроителей - Сланцевское шоссе - ул.Ломоносова - ул.Дзержинского - ул.Маяковского - (обратно: ул.Ломоносова)		-		27.06.2016	2	-	-
3400	snb		0	СМОЛ	СМУП АТ	расп	Сосновый Бор, АТП	Смольнинский	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Смольнинский		-		27.06.2016	2	-	-
3401	snb		1		СМУП АТ	расп	Сосновый Бор, АТП	НИТИ им.Александрова	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		ЛиАЗ-5256, МАЗ-107	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3402	snb		1	с	СМУП АТ	расп	Сосновый Бор, АТП	НИТИ им.Александрова	-	Молодёжная ул. - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		ЛиАЗ-5256	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3403	snb		2		СМУП АТ	расп	Сосновый Бор, АТП	Сосновый Бор, АТП	-	Молодёжная ул. - пр.Героев - Парковая ул. - Ленинградская ул. - Комсомольская ул. - ул. Космонавтов - Солнечная ул. - ул. 50-летия Октября - Ленинградская ул. - Парковая ул. - пр.Героев - Молодёжная ул.		-		27.06.2016	2	-	-
3404	snb		3		СМУП АТ	расп	Сосновый Бор, АТП	НИТИ им.Александрова	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		НефАЗ-5299		27.06.2016	2	-	-
3405	snb		4		СМУП АТ	расп	Сосновый Бор, АТП	Сосновый Бор, АТП	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Комсомольская ул. - ул. 50-летия Октября - Солнечная ул. - ул.Космонавтов - пр.Героев - Молодёжная ул.		-		27.06.2016	2	-	-
3406	snb		5		СМУП АТ	расп	Сосновый Бор, АТП	ст. Калище	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Вокзальный проезд		НефАЗ-5299		27.06.2016	2	-	-
3407	snb		6		СМУП АТ	расп	Сосновый Бор, АТП	ст. Калище	-	Молодёжная ул. - пр.Героев - Ленинградская ул. - Вокзальный проезд		-		27.06.2016	2	-	-
3408	snb		7		СМУП АТ	расп	Сосновый Бор, АТП	пл. 80-й км	-	Молодёжная ул. - ул.Красных Фортов - Солнечная ул. - ул.Космонавтов - Комсомольская ул. - ул.Петра Великого		НефАЗ-5299		27.06.2016	2	-	-
3409	snb		8		СМУП АТ	расп	Сосновый Бор, АТП	ЛАЭС-2	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		КАвЗ-4238, ЛиАЗ-5256, МАЗ-107, НефАЗ-5299	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3410	snb		8	с	СМУП АТ	расп	Сосновый Бор, АТП	ЛАЭС-2	-	Молодёжная ул. - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		ЛиАЗ-5256	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3411	snb		9		СМУП АТ	расп	Сосновый Бор, АТП	Систо-Палкино	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Систа-Палкино		-		27.06.2016	2	-	-
3412	snb		10	а	СМУП АТ	расп	Сосновый Бор, АТП	"Садоводство ""Дружба"""	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Ракопежи - Сады		ЛиАЗ-5256		27.06.2016	2	-	-
3413	snb		11		СМУП АТ	расп	Сосновый Бор, АТП	"Садоводство ""Строитель"", конечная"	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Смольнинский - Сады		-		27.06.2016	2	-	-
3414	snb		12		СМУП АТ	расп	Сосновый Бор, АТП	Липово	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Ручьи - Липово		-		27.06.2016	2	-	-
3415	snb		14		СМУП АТ	расп	Сосновый Бор, АТП	ЛАЭС-1	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		-	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3416	snb		15		СМУП АТ	расп	Сосновый Бор, АТП	Сосновый Бор, АТП	-	Молодёжная ул. - ул.Красных Фортов - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - пр.Ал.Невского - Копорское шоссе - Ленинградская ул. - ул. 50-летия Октября - Солнечная ул. - ул.Космонавтов - пр.Герооев - ул.Красных Фортов - Молодёжная ул.		ПАЗ-3204-14, ЛиАЗ-5256		27.06.2016	2	-	-
3417	snb		18		СМУП АТ	расп	Сосновый Бор, АТП	ЛАЭС-1	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе		-	служебный, только для сотрудников ЛАЭС	27.06.2016	2	-	-
3418	snb		20		СМУП АТ	расп	Сосновый Бор, АТП	Новое Калище	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Старое Калище - Новое Калище		-		27.06.2016	2	-	-
3419	snb		20	а	СМУП АТ	расп	Сосновый Бор, АТП	Коваши	-	Молодёжная ул. - пр.Героев - ул.Космонавтов - Солнечная ул. - ул. 50-летия Октября - Комсомольская ул. - Ленинградская ул. - Копорское шоссе - Старое Калище - Новое Калище - Лендовщина - Коваши		НефАЗ-5299		27.06.2016	2	-	-
3500	thv		2		ТВСЗ	расп	Вокзал	ТВСЗ	-	Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса - ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3501	thv		3		ИП Фадеева Я.В.	расп	Разъезжая ул.	1-й микрорайон, 41	-	Разъезжая ул. - Ново-Советская ул. - Вокзальная ул. - Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса - ул.Пещерка		-		27.06.2016	2	-	-
3502	thv		4		ИП Асеев И.Г. ИП Баранов Е.А. ИП Глущенко В.И. ИП Кузнецов И.В. ИП Шель М.Ф.	расп	Автопарк	Кладбище	-	ул.Карла Маркса - Советская ул. - ул.Зайцева - Ленинградская ул.		-		27.06.2016	2	-	-
3503	thv		4	а	ИП Рюхина Е.Н.	расп	1-й микрорайон, 41	Кладбище	-	ул.Пещерка - ул.Карла Маркса - Советская ул. - ул.Зайцева - Ленинградская ул.		-		27.06.2016	2	-	-
3504	thv		5		ТВСЗ	расп	"ТЦ ""Яблочко"""	ТВСЗ	-	ул.Пещерка - ул.Карла Маркса - ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3505	thv		5	а	ТВСЗ	расп	Молокозавод	ТВСЗ	-	ул.Карла Маркса - ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3506	thv		5	б	ТВСЗ	расп	Больничный корпус	ТВСЗ	-	ул.Карла Маркса - ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3507	thv		7		"ООО ""Барс"""	расп	Автопарк	Ул. Саши Забелина	-	ул.Карла Маркса - Советская ул. - ул.Гагарина - ул.Саши Забелина		-		27.06.2016	2	-	-
3508	thv		8		"ООО ""Барс"""	расп	1-й микрорайон, 41	Лесопитомник	-	ул.Пещерка - ул.Карла Маркса - ул.Победы - Красавское шоссе		-		27.06.2016	2	-	-
3509	thv		10		ИП Закатов Е.Н. ИП Соколов С.Е. ООО Барс	инт	Вокзал	Автопарк	-	Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса		-		27.06.2016	2	-	-
3510	thv		10	к	ИП Закатов Е.Н. ИП Соколов С.Е. ООО Барс	инт	Вокзал	Автопарк	-	Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса		-		27.06.2016	2	-	-
3511	thv		11		ИП Луценко А.А.	расп	Вокзал	ГСК-8	-	Новгородская ул. - ул.Машиностроителей - Красноармейская ул. - ул.Карла Маркса		-		27.06.2016	2	-	-
3512	thv		13		"ООО ""Барс"""	расп	Автопарк	Фишёва Гора	-	ул.Карла Маркса - Советская ул. - ул.Гагарина - Речной пер. - ул.Римского-Корсакова		-		27.06.2016	2	-	-
3513	thv		14		"ООО ""Барс"""	расп	1-й микрорайон, 41	Плаунская ул., 8	-	ул.Пещерка - ул.Карла Маркса - Советская ул. - Плаунская ул.		-		27.06.2016	2	-	-
3514	thv		15		ИП Асеев И.Г. ИП Баранов Е.А. ИП Глущенко В.И. ИП Кузнецов И.В. ИП Шель М.Ф.	расп	Вокзал	Ретранслятор	-	Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса - ул.Победы - ул.Шумилова - Партизанская ул. - Боровинская ул.		-		27.06.2016	2	-	-
3515	thv		16		ИП Бельский В.М.	расп	Боровинка	Автопарк	-	Боровинская ул. - Партизанская ул. - ул.Шумилова - ул.Победы - ул.Карла Маркса		-		27.06.2016	2	-	-
3516	thv		17		ТВСЗ	расп	"Кафе ""Витязь"""	ТВСЗ	-	ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3517	thv		21		ТВСЗ	расп	Ул. Машиностроителей, 42	ТВСЗ	-	ул.Машиностроителей - ул.Победы - ул.Центролитовская ул.		-		27.06.2016	2	-	-
3518	thv		5	/2	ТВСЗ	расп	"ТЦ ""Яблочко"""	ТВСЗ	-	ул.Карла Маркса - Красноармейская ул. - ул.Машиностроителей - ул.Победы - Центролитовская ул.		-		27.06.2016	2	-	-
3519	thv		142		ИП Закатов Е.Н. ИП Соколов С.Е. ООО Барс	расп	Тихвин, молокозавод	Бор	-	Тихвин - Берёзовик - Городок - Кайвакса - Бор		-		27.06.2016	2	-	-
3521	thv		143		ООО ТПАТ	расп	Тихвин, автостанция	Бокситогорск	-	Тихвин - Астрача - Галично - Дыми - Ларьян - Бокситогорск		-		27.06.2016	2	-	-
3522	thv		144		ИП Шель М.Ф.	расп	Тихвин, вокзал	Заручевье	-	Тихвин - Мелегежская Горка - Новоандреево - (заезд: Шибенец) - Заручевье		-		27.06.2016	2	-	-
3523	thv		144	а	ИП Шель М.Ф.	расп	Тихвин, автостанция	Шибенец	-	Тихвин - Мелегежская Горка - Новоандреево - Шибенец		-		27.06.2016	2	-	-
3525	thv		145		ИП Кузнецов И.В.	расп	Тихвин, молокозавод	Липная Горка	-	Тихвин - Сёлово - Марково - Липная Горка		-		27.06.2016	2	-	-
3526	thv		147		НП Агентство развития Вепсский лес	расп	Пашозеро	Корбеничи	-	Пашозеро - Кончик - Коптяево - Стрелково - Харагеничи - Корбеничи		-		27.06.2016	2	-	-
3527	thv		148		НП Агентство развития Вепсский лес	расп	Шугозеро	Пашозеро	-	Шугозеро - Бурмакино - Самара - Макарьино - Пялья - Кильмуя - Верховье - Бирючёво - Кончик - Пашозеро		-		27.06.2016	2	-	-
3528	thv		149		ИП Кузнецов И.В.	расп	Тихвин, вокзал	Ругуй	-	Тихвин - Сёлово - Марково - Липная Горка - Овинцево - Печнева - Стиомля - Харчевня - Ругуй		-		27.06.2016	2	-	-
3529	thv		150		ООО ТПАТ	расп	Тихвин, автостанция	Пикалёво	-	Тихвин - Астрача - Галично - Дыми - Турково - Горелуха - Большой Двор - Михайловские Концы - Павловские Концы - Синёнка - Заречье - Новая Деревня - Пикалёво		-		27.06.2016	2	-	-
3530	thv		151		ООО ТПАТ	расп	Тихвин, автостанция	Сашково	-	Тихвин - Берёзовик - Городок - Кайвакса - Шомушка - Залющик - Горка - Валдость - Пяхта - Прогаль - Тумище - Красный Порог - Коськово - Тумово - Сашково		-		27.06.2016	2	-	-
3531	thv		151	а	ИП Закатов Е.Н. ИП Соколов С.Е. ООО Барс	расп	Тихвин, молокозавод	Горка	-	Тихвин - Берёзовик - Городок - Кайвакса - Шомушка - Залющик - Горка		-		27.06.2016	2	-	-
3532	thv		152		ИП Баранов Е.А.	расп	Тихвин, автостанция	Красава	-	Тихвин - Красава		-		27.06.2016	2	-	-
3535	thv		154	а	ИП Бельский В.М.	расп	Тихвин, молокозавод	Бесовка	-	Тихвин - Ялгино - Усть-Шомушка - Горелуха - (заезд: Цвылёво) - Овино - Чемихино - Сугорово - Свирь - Подборье - Филовщина - Городище - Бесовка		-		27.06.2016	2	-	-
3536	thv		154	б	ИП Бельский В.М.	расп	Тихвин, молокозавод	Цвылёво	-	Тихвин - Ялгино - Усть-Шомушка - Горелуха - Овино - Цвылёво		-		27.06.2016	2	-	-
3537	thv		155		"ООО ""Барс"""	расп	1-й микрорайон, 41	Царицыно Озеро	-	ул.Пещерка - ул.Карла Маркса - Советская ул. - Березовик - Царицыно Озеро		-		27.06.2016	2	-	-
3538	thv		157		"ООО ""Барс"""	расп	Тихвин, молокозавод	Новинка	-	Тихвин - Берёзовик - Городок - Кайвакса - Бор - Сарожа - Каливец - Усть-Капша - Михалёво - Ганьково - Серебрянка - Лихачево - Кобякова Горка - Ерёмина Гора - Мехбаза - Куневичи - Абрамово - Капшинский - Сосновка - Новинка		-		27.06.2016	2	-	-
3539	thv		159	б	НП Агентство развития Вепсский лес	расп	Шугозеро	Никульское	-	Шугозеро - Нюрево - Палуя - Лепуя - Григино - Чудское - Паньшино - Никульское		-		27.06.2016	2	-	-
3540	thv		160	б	НП Агентство развития Вепсский лес	расп	Шугозеро	Заречье	-	Шугозеро - Равдино - Чуганово - Клюшниково - Ушаково - Заречье		-		27.06.2016	2	-	-
3542	thv		164		ООО ТПАТ	расп	Тихвин, автостанция	Исаково	-	Тихвин - Берёзовик - Городок - Кайвакса - Шомушка - Залющик - Горка - Валдость - Пяхта - Прогаль - Тумище - Красный Порог - Коськово - Снопово - Саньково - Харитоновщина - Исаково		-		27.06.2016	2	-	-
3543	thv		165		ООО ТПАТ	расп	Тихвин, автостанция	Шугозеро	-	Тихвин - Берёзовик - Городок - Кайвакса - Бор - Сарожа - Каливец - Усть-Капша - Михалёво - Ганьково - Наволок - Поречье - Шуйга - Шугозеро		-		27.06.2016	2	-	-
3545	thv		166		ИП Кузнецов И.В. ИП Глущенко В.И. ИП Фадеева Я.В. ИП Шель М.Ф.	расп	Тихвин, вокзал	Сарка	-	Тихвин - Паголда - Сарка		-		27.06.2016	2	-	-
3546	thv		167		ИП Луценко А.А. ИП Шель М.Ф.	расп	Вокзал	Аэропорт	-	Новгородская ул. - Полевая Кузнецкая ул. - Советская ул. - ул.Карла Маркса - Паголда		-		27.06.2016	2	-	-
3547	thv		168		"ООО ""Барс"""	расп	Молокозавод	"Сады ""Кайвакса"""	-	ул.Пещерка - ул.Карла Маркса - Советская ул. - Березовик - Кайвакса - Сады		-		27.06.2016	2	-	-
3548	thv		170		НП Агентство развития Вепсский лес	расп	Шугозеро	Лукино	-	Шугозеро - Бурмакино - Самара - Макарьино - Пялья - Кильмуя - Верховье - Бирючёво - Кончик - Пашозеро - Урья - Лукино		-		27.06.2016	2	-	-
3551	thv		5	/21	ТВСЗ	расп	"ТЦ ""Яблочко"""	ТВСЗ	-	ул.Карла Маркса - ул.Победы - (заезд: ул.Машиностроителей) - Центролитовская ул.		-		27.06.2016	2	-	-
3552	thv		2	а	ТВСЗ	расп	Ул. Победы	ТВСЗ	-	ул.Победы - Центролитовская ул.	0	-	-	27.06.2016	2	-	-
3553	thv	К-	168		"ООО ""Барс"""	расп	Хлебокомбинат	"Сады ""Кайвакса"""	-	ул.Карла Маркса - Советская ул. - Березовик - Кайвакса - Сады	0	-	-	27.06.2016	2	-	-
817	tsn	К-	450	 	"ХК ""Питеравто"""	расп	Колпино, Заводской проспект	Никольское, Советский проспект	ежедневно	улица Веры Слуцкой /г. Колпино/ - Пролетарская улица /г. Колпино/ - улица Ремизова /г. Колпино/ - Тверская улица /г. Колпино/ - Тельмана - Красный Бор - Никольское	40	ПАЗ-3203, ПАЗ-3204-02	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>Колпино - Тельмана - 25р.<BR>Колпино - Красный Бор - 30р.<BR>Красный Бор - Никольское - 30р.<BR>садоводства - Никольское - 25р.<BR>по Никольскому - 20р."	27.06.2016	2	-	-
920	tsn	К-	610	а	"ХК ""Питеравто"""	расп	станция метро Звёздная	станция Саблино	ежедневно	улица Ленсовета - Звёздная улица - проспект Космонавтов - Дунайский проспект - (обратно: Дунайский проспект - улица Ленсовета) - Витебский проспект - Московское шоссе /пос. Шушары/ - Ям-Ижора - Красный бор - Ульяновка	55	Volkswagen Crafter	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>СПб - Московская Славянка - 40р.<BR>СПб - поворот на Красный Бор - 45р.<BR>Ленсоветовский - Московская Славянка - 34р.<BR>Ленсоветовский - Ульяновка - 45р.<BR>Ям-Ижора - Ульяновка - 40р.<BR>поворот на Красный Бор - Ульяновка - 30р.<BR>по Ульяновке - 22р."	27.06.2016	2	-	-
921	tsn	К-	610	 	"ХК ""Питеравто"""	инт	станция метро Звёздная	Тосно, вокзал	ежедневно	улица Ленсовета - Дунайский проспект - Витебский проспект - Московское шоссе /пос. Шушары/ - Ям-Ижора - Ульяновка - Тосно	77	ГолАЗ-ЛиАЗ-5256	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>СПб - Ленсоветовский - 45р.<BR>СПб - Московская Славянка - 50р.<BR>СПб - Ям-Ижора - 60р.<BR>СПб - Ульяновка - 68р.<BR><BR>Шушары - Ленсоветовский - 28р.<BR>Шушары - Московская Славянка - 35р.<BR>Шушары - поворот на Красный Бор - 50р.<BR><BR>Ленсоветовский - Московская Славянка - 28р.<BR>Ленсоветовский - Ям-Ижора - 40р.<BR>Ленсоветовский - Ульяновка - 50р.<BR>Ленсоветовский - Тосно - 65р.<BR><BR>Московская Славянка - Ям-Ижора - 33р.<BR>Московская Славянка - Ульяновка - 45р.<BR>Московская Славянка - Тосно - 60р.<BR><BR>Ям-Ижора - поворот на Красный Бор - 25р.<BR>Ям-Ижора - Ульяновка - 35р.<BR><BR>поворот на Красный Бор - Ульяновка - 25р.<BR>поворот на Красный Бор - Тосно - 45р.<BR><BR>Ульяновка - Тосно - 38р.<BR>по Тосно - 22р.<BR><BR>также работают Ford Tourneo и Volkswagen Caravella ""Такси Салют"" (80р.)"	27.06.2016	2	-	-
922	tsn	К-	611	 	"ХК ""Питеравто"""	расп	Колпино, вокзал	станция Поповка	ежедневно	улица Труда /г. Колпино/ - Банковский переулок /г. Колпино/ - Тверской мост /г. Колпино/ - Тверская улица /г. Колпино/ - Тельмана - Красный Бор	38	ПАЗ-3203, ПАЗ-3204-02	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>Колпино - Тельмана - 28р.<BR>Ям-Ижора - Красный Бор - 35р.<BR>по Красному Бору - 22р."	27.06.2016	2	-	-
923	tsn	 	611	б	"ХК ""Питеравто"""	расп	Колпино, вокзал	Тосно, вокзал	ежедневно	улица Труда /г. Колпино/ - Банковский переулок /г. Колпино/ - Тверской мост /г. Колпино/ - Тверская улица /г. Колпино/ - Тельмана - Красный Бор - Ульяновка - Тосно	55	ПАЗ-3204-12	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>по Колпино - 25р.<BR>по Тосно - 20р."	27.06.2016	2	-	-
924	tsn	 	618	 	"ХК ""Питеравто"""	расп	Пушкин, областной университет	Тосно, вокзал	ежедневно	Детскосельский бульвар /г. Пушкин/ - Петербургское шоссе /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Привокзальная площадь /г. Пушкин/ - Софийский бульвар /г. Пушкин/ - Московское шоссе /г. Пушкин/ - (обратно: Железнодорожная улица /г. Пушкин/) - Фильтровское шоссе /пос. Тярлево/ - Фильтровское шоссе /г. Павловск/ - Садовая улица /г. Павловск/ - Глинка - Фёдоровское - Аннолово - Форносово - Поги - Новолисино - Тосно	58	ПАЗ-3204-12	"обслуживает тосненский филиал ООО ""Транс-Балт""<BR>Пушкин - Б.Глинки - 27р.<BR>Пушкин - Аннолово - 30р.<BR>Пушкин - Форносово - 38р.<BR>Пушкин - Мыза - 50р.<BR>Пушкин - Новолисино - 53р.<BR><BR>Тосно - Ёглизи - 27р.<BR>Тосно - Кайболово - 30р.<BR>Тосно - Мыза - 35р.<BR>Тосно - Форносово - 38р.<BR>Тосно - Аннолово - 50р.<BR>Тосно - Павловск - 53р.<BR>по Тосно - 16р.<BR>утренний рейс в сторону Пушкина следует по Московскому шоссе через пос. Ульяновка, пос Ям-Ижора и по Ям-Ижорскому шоссе через пушкинское отделение свх. Детскосельский:<BR>Тосно - Ульяновка - 27р.<BR>Тосно - поворот на Красный Бор - 30р.<BR>Тосно - Ям-Ижора - 38р.<BR>Тосно - Тярлево - 50р.<BR>Тосно - Пушкин - 53р."	27.06.2016	2	-	-
